package,URI,range
domain#000000,domain#000000,domain#CellularNetwork
package#5G,domain#implementsCN,domain#CellularNetwork
package#5G,domain#multiSpace,domain#RAN
package#AccessContext,domain#accessFrom,domain#Space
package#AccessContext,domain#accessTo,domain#Accessible
package#AccessContext,domain#interactsRemotelyWith,domain#Accessible
package#AccessContext,domain#interactsWith,domain#Accessible
package#AccessContext,domain#manages,domain#Accessible
package#AccessContext,domain#manages,domain#PrivateSpace
package#Application,domain#amends,domain#Data
package#Application,domain#amendsData,domain#Data
package#Application,domain#appends,domain#Data
package#Application,domain#assertedAmendsData,domain#Data
package#Application,domain#assertedInputsData,domain#Data
package#Application,domain#assertedViewsData,domain#Data
package#Application,domain#configuredBy,domain#Data
package#Application,domain#creates,domain#Data
package#Application,domain#enablesUserAccess,domain#Data
package#Application,domain#enablesUserInput,domain#Data
package#Application,domain#enablesUserOutput,domain#Data
package#Application,domain#enablesUserUpdate,domain#Data
package#Application,domain#handles,domain#Data
package#Application,domain#hasCLI,domain#Process
package#Application,domain#hasEmail,domain#Human
package#Application,domain#inputsData,domain#Data
package#Application,domain#interactsWithData,domain#Data
package#Application,domain#isSpam,domain#Data
package#Application,domain#noDU,domain#Process
package#Application,domain#processes,domain#Data
package#Application,domain#reads,domain#Data
package#Application,domain#receives,domain#Data
package#Application,domain#relays,domain#Data
package#Application,domain#serves,domain#Data
package#Application,domain#stores,domain#Data
package#Application,domain#updates,domain#Data
package#Application,domain#usesDirectly,domain#Process
package#Application,domain#usesIndirectly,domain#Process
package#Application,domain#viewsData,domain#Data
package#CloudManagement,domain#contains,domain#Process
package#CloudManagement,domain#isContainer,domain#Host
package#CloudManagement,domain#isPod,domain#Pod
package#DataCaching,domain#caches,domain#DataFlow
package#DataLifecycle,domain#atHost,domain#Host
package#DataLifecycle,domain#canGetKeys,domain#DataAsset
package#DataLifecycle,domain#canGetKeys,domain#DataTransferAsset
package#DataLifecycle,domain#canRead,domain#DataCopy
package#DataLifecycle,domain#canWrite,domain#DataCopy
package#DataLifecycle,domain#channelTried,domain#DataChannel
package#DataLifecycle,domain#connectsData,domain#Process
package#DataLifecycle,domain#controls,domain#DataAsset
package#DataLifecycle,domain#copyOf,domain#Data
package#DataLifecycle,domain#crudc,domain#DataCopy
package#DataLifecycle,domain#crudd,domain#DataCopy
package#DataLifecycle,domain#crudr,domain#DataCopy
package#DataLifecycle,domain#crudu,domain#DataCopy
package#DataLifecycle,domain#dataChannelEnd,domain#DataAccess
package#DataLifecycle,domain#dataChannelFor,domain#DataAccess
package#DataLifecycle,domain#dataChannelFrom,domain#Process
package#DataLifecycle,domain#dataChannelTo,domain#Process
package#DataLifecycle,domain#dataPathEnd,domain#Process
package#DataLifecycle,domain#dataPathFor,domain#Data
package#DataLifecycle,domain#dataPathTo,domain#DataAccess
package#DataLifecycle,domain#dataPathVisits,domain#Process
package#DataLifecycle,domain#enablesAccess,domain#DataAccess
package#DataLifecycle,domain#exchangeCS,domain#DataExchange
package#DataLifecycle,domain#exchangeSC,domain#DataExchange
package#DataLifecycle,domain#extendsDC,domain#DataChannel
package#DataLifecycle,domain#extendsDP,domain#DataPath
package#DataLifecycle,domain#extendsFwdFlow,domain#DataChannel
package#DataLifecycle,domain#extendsRevFlow,domain#DataChannel
package#DataLifecycle,domain#flows,domain#Data
package#DataLifecycle,domain#flowsFrom,domain#Process
package#DataLifecycle,domain#flowsFromDP,domain#DataPath
package#DataLifecycle,domain#flowsFromIn,domain#ProcessContext
package#DataLifecycle,domain#flowsTo,domain#Process
package#DataLifecycle,domain#flowsToDP,domain#DataPath
package#DataLifecycle,domain#flowsToIn,domain#ProcessContext
package#DataLifecycle,domain#flowsVia,domain#DataStep
package#DataLifecycle,domain#flowsViaProcess,domain#Process
package#DataLifecycle,domain#fromProc,domain#Process
package#DataLifecycle,domain#fromSource,domain#DataAccess
package#DataLifecycle,domain#fulfils,domain#DataAccess
package#DataLifecycle,domain#fulfils,domain#DataAsset
package#DataLifecycle,domain#fwdPath,domain#DataChannel
package#DataLifecycle,domain#fwdRelay,domain#DataAccess
package#DataLifecycle,domain#indirectAuthZ,domain#Process
package#DataLifecycle,domain#isDest,domain#Data
package#DataLifecycle,domain#isPool,domain#Data
package#DataLifecycle,domain#isSource,domain#Data
package#DataLifecycle,domain#isStateless,domain#Host
